Date,Revenue
2025-10-31,821
2025-07-31,972
2025-04-30,732
2025-01-31,1283
2024-10-31,860
2024-07-31,798
2024-04-30,882
2024-01-31,1794
2023-10-31,1078
2023-07-31,1164
2023-04-30,1237
2023-01-31,2226
2022-10-31,1186
2022-07-31,1136
2022-04-30,1378
2022-01-31,2254
2021-10-31,1297
2021-07-31,1183
2021-04-30,1277
2021-01-31,2122
2020-10-31,1005
2020-07-31,942
2020-04-30,1021
2020-01-31,2194
2019-10-31,1439
2019-07-31,1286
2019-04-30,1548
2019-01-31,3063
2018-10-31,1935
2018-07-31,1501
2018-04-30,1786
2018-01-31,2825
2017-10-31,1989
2017-07-31,1688
2017-04-30,2046
2017-01-31,2403
2016-10-31,1959
2016-07-31,1632
2016-04-30,1972
2016-01-31,3525
2015-10-31,2016
2015-07-31,1762
2015-04-30,2061
2015-01-31,3476
2014-10-31,2092
2014-07-31,1731
2014-04-30,1996
2014-01-31,3684
2013-10-31,2107
2013-07-31,1384
2013-04-30,1865
2013-01-31,3562
2012-10-31,1773
2012-07-31,1550
2012-04-30,2002
2012-01-31,3579
2011-10-31,1947
2011-07-31,1744
2011-04-30,2281
2011-01-31,3693
